EstacaoCodigo,Data,Maxima,Total,DiaMaxima,NumDiasDeChuva,TotalAnual,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
734006,01/06/2019,182.4,672.2,14,24,,11.8,0,0.4,0,1,0,0,0,1.4,69.8,5.8,6,145.2,182.4,0.8,81.6,63.8,20.8,3.8,1.6,30.4,2.4,0.1,0.4,0.2,5.3,5.8,0.6,30.8,0,
734006,01/05/2019,45,204.5,21,21,,0.2,0,0,0.1,12,0.4,27.4,32.2,2.2,0,0,0,0.1,0,3.6,0,0,0,5.2,5.4,45,0.2,2.8,1.4,0,15.6,22.8,3.6,7.5,8.8,8
734006,01/04/2019,53,182.7,1,24,,53,2.2,1,0.8,3,1.2,0.4,3,0.3,0,15,5.4,19,2.8,0,0,0,7.4,0,4.4,32.2,0,3,3.2,10,2,1,5.2,1.2,6,
734006,01/03/2019,55.4,239.8,27,20,,0,12.8,20.1,13.6,6.9,0,0,0,0,0,0,10.6,1.8,0.7,0,0,1,28,20,0,0.2,0,1.4,23.6,0.3,3,55.4,6.4,19.8,6.4,7.8
734006,01/02/2019,71,200.8,13,,,0.4,0,,4.2,0,37.2,12.4,0,0,2.4,2,0,71,60,0,2,0.4,2.8,0,0,0,0,0.4,0.6,0,5,0,0,,,
734006,01/01/2019,28.4,72.6,27,8,,0,5.4,0,0,0,0,0,0,0,0,7,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6,28.4,14.6,1,0,4
734006,01/12/2018,24.6,57.7,17,11,,0,0,0,0,0,6.6,0,0,0.1,9,1.4,6,7.4,0,0,0,24.6,0.9,0,0,0,0.1,0.4,0,0,0,0,0,0,0,1.2
734006,01/11/2018,4.2,17.8,23,11,,0,1.8,0,1.2,0,0,0,0,0,0,0,0.1,0,1.4,0,0,0,0,0,0.3,0,0,4.2,3.2,1.4,3,1,0.2,0,0,
734006,01/10/2018,0.8,1.9,4,3,,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
734006,01/09/2018,10,35.6,2,,,0,10,0,0,0,0,0,0.6,0.2,7.2,4.6,0,0,0,0,0.6,1.6,2.1,0.2,2.4,1.1,0.6,0,1.4,1.4,,0.4,0.4,0.8,0,
734006,01/08/2018,29,82.8,10,20,,1,0.2,1.2,0,0,1.6,0,0.8,13.8,29,0,1.6,0,0,0,0,0,5.2,0,0.6,0,0.2,1,0.4,10,3.6,0.4,0.6,0.6,8.8,2.2
734006,01/07/2018,106.2,198.8,11,,,0,,7.6,1.2,0,10.2,1.2,0,1,0,106.2,33,2.8,0,0,2.8,0,6.8,0,7.6,0.4,0,0,3.2,0,1.8,5,4.6,1,0,2.4
734006,01/06/2018,27.8,108.9,8,24,,0,0,22.1,1.6,0.4,0.4,12,27.8,0.5,0,1,0,0,2.5,3.8,8,6.2,2.8,2.2,0.8,0.4,3,0,3,1.2,1.6,1.4,1,4,1.2,
734006,01/05/2018,68,245.8,17,24,,26.8,8.5,0.1,3.3,11.4,15,0.6,0,49.7,5.2,0.2,2,0.4,0,11.2,3.6,68,3.6,3.6,0,0,0,10.8,0.2,0,1,0,3.8,5.4,1,10.4
734006,01/04/2018,42.4,357.7,30,25,,0.6,0.6,0,3.6,0,0.2,25.4,26,0,1.7,41.2,1.4,33.8,0.8,41,17.6,4.8,0,0,1,27.8,10.6,16,4.2,41.2,4.2,2.8,8.5,0.3,42.4,
734006,01/03/2018,71.6,204.4,30,13,,9.6,13.4,9.2,0.8,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,7.4,2.4,0.4,3.4,60.8,71.6,5.4
734006,01/02/2018,39.6,142.3,14,16,,0.4,1.4,0,0,0,0,0,0.4,5.4,1.5,0.4,1.2,4.6,39.6,39.2,6,0,29,0.2,0,0,0,5.4,0,0,1.4,0,6.2,,,
734006,01/01/2018,40.8,100.7,20,14,,0.8,0,0,0,0,0,0,0,3,2.4,0.6,0,0,0,0.5,4.4,3.6,27.4,4.6,40.8,0.4,0,2,3,0,0,0,0,7.2,0,0
734006,01/12/2017,18.2,26.6,21,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,5.6,0.4,0,2.4,0,0,0,0,0
734006,01/11/2017,5,11,5,9,,0,0.8,1,0,5,0,0,0.4,0,0.5,1.7,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,
734006,01/10/2017,17.4,51.6,24,15,,0,0,0,0,0.4,1.9,2,0,1.2,0.7,4.8,0,0,0,0,0,0.4,4,0,8,2.8,1.4,1.4,17.4,0,0,4.2,1,0,0,0
734006,01/09/2017,40.1,120.6,7,23,,0,0,2,6.3,6.4,3.4,40.1,6.4,2.2,6.8,2.4,0,4,4.2,5.6,4,3.8,0,0,6,2.8,0.2,7.6,0,2.8,0.2,1,1.8,0.6,0,
